feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
audience,not_applicable,game_format,unspecified_game_format,8,3.6
audience,not_applicable,service_area,professional_capacity,8,3.6
evidence_type,implementation_case,intended_outcome,institutional_capacity,8,3.6
library_context,non_library_context,peer_review,unknown,8,3.6
intended_outcome,belonging_and_community,service_area,programming_and_facilitation,8,3.6
intended_outcome,institutional_capacity,primary_methodology,case_or_design_study,8,3.6
game_format,gamification,source_type,peer_reviewed_journal_article,8,3.6
library_context,public_library,service_area,space_and_infrastructure,8,3.6
service_area,learning_and_literacy,service_area,space_and_infrastructure,8,3.6
game_format,digital_game,intended_outcome,creativity_and_production,8,3.6
audience,teens,intended_outcome,belonging_and_community,8,3.6
game_format,multiple_game_formats,service_area,discovery_and_advisory,8,3.6
game_format,gamification,peer_review,peer_reviewed,8,3.6
evidence_type,empirical_study,service_area,space_and_infrastructure,8,3.6
library_context,multiple_library_types,service_area,collections_and_access,8,3.6
game_format,digital_game,service_area,cultural_heritage_and_research,8,3.6
game_format,tabletop_roleplaying_game,source_type,professional_community_working_document,8,3.6
audience,not_applicable,primary_methodology,content_analysis,8,3.6
coding_confidence,high,primary_methodology,content_analysis,8,3.6
game_format,virtual_or_augmented_reality,source_type,peer_reviewed_journal_article,8,3.6
game_format,virtual_or_augmented_reality,peer_review,peer_reviewed,8,3.6
evidence_type,theoretical_or_conceptual,game_format,multiple_game_formats,8,3.6
game_format,multiple_game_formats,primary_methodology,theoretical_or_conceptual,8,3.6
evidence_type,content_or_artifact_analysis,primary_methodology,content_analysis,8,3.6
game_format,virtual_or_augmented_reality,intended_outcome,learning_and_literacy,8,3.6
intended_outcome,creativity_and_production,service_area,learning_and_literacy,8,3.6
audience,students,intended_outcome,belonging_and_community,8,3.6
evidence_type,implementation_case,service_area,programming_and_facilitation,8,3.6
intended_outcome,learning_and_literacy,library_context,public_library,8,3.6
game_format,tabletop_roleplaying_game,primary_methodology,community_curation,8,3.6
primary_methodology,case_or_design_study,service_area,programming_and_facilitation,8,3.6
evidence_type,professional_practice_artifact,game_format,tabletop_roleplaying_game,8,3.6
evidence_type,content_or_artifact_analysis,peer_review,peer_reviewed,8,3.6
evidence_type,content_or_artifact_analysis,source_type,peer_reviewed_journal_article,8,3.6
evidence_type,implementation_case,game_format,multiple_game_formats,8,3.6
game_format,multiple_game_formats,primary_methodology,case_or_design_study,8,3.6
game_format,tabletop_game,service_area,programming_and_facilitation,8,3.6
intended_outcome,discovery_and_advisory,library_context,unspecified_library_context,8,3.6
audience,general_public,coding_confidence,high,8,3.6
peer_review,peer_reviewed,primary_methodology,survey,8,3.6
audience,students,primary_methodology,survey,8,3.6
primary_methodology,none,source_type,toolkit_or_guidance_document,8,3.6
audience,students,library_context,unspecified_library_context,8,3.6
game_format,digital_game,primary_methodology,evidence_synthesis,8,3.6
evidence_type,evidence_synthesis,game_format,digital_game,8,3.6
coding_confidence,high,game_format,escape_room_or_breakout_box,8,3.6
peer_review,unknown,primary_methodology,none,8,3.6
service_area,programming_and_facilitation,source_type,professional_publication,8,3.6
primary_methodology,survey,source_type,peer_reviewed_journal_article,8,3.6
game_format,escape_room_or_breakout_box,service_area,learning_and_literacy,8,3.6
audience,not_applicable,game_format,tabletop_game,8,3.6
intended_outcome,learning_and_literacy,primary_methodology,case_or_design_study,7,3.1
game_format,digital_game,service_area,programming_and_facilitation,7,3.1
game_format,multiple_game_formats,peer_review,editorial_reviewed,7,3.1
evidence_type,empirical_study,evidence_type,implementation_case,7,3.1
library_context,unspecified_library_context,primary_methodology,community_curation,7,3.1
intended_outcome,institutional_capacity,service_area,professional_capacity,7,3.1
game_format,multiple_game_formats,library_context,academic_library,7,3.1
library_context,school_library,service_area,learning_and_literacy,7,3.1
evidence_type,empirical_study,primary_methodology,case_or_design_study,7,3.1
intended_outcome,learning_and_literacy,service_area,professional_capacity,7,3.1
game_format,tabletop_game,primary_methodology,case_or_design_study,7,3.1
